index,model,folds,class,test_set_precision,test_set_recall,test_set_micro_precision,test_set_micro_recall,test_accuracy,validation_set_precision,validation_set_recall,validation_set_micro_precision,validation_set_micro_recall,validation_accuracy
54,Logistic Regression: Derived Dataset 3,4,macro avg,0.6315303493355306,0.5486533089061688,0.8080194410692588,0.8080194410692588,0.8080194410692588,0.6270183887740676,0.5705207772400381,0.8251763472903418,0.8251763472903418,0.8251763472903418
55,Logistic Regression: Derived Dataset 3,4,weighted avg,0.8097835856867178,0.8080194410692588,0.8080194410692588,0.8080194410692588,0.8080194410692588,0.8203253744425256,0.8251763472903418,0.8251763472903418,0.8251763472903418,0.8251763472903418
56,MLP Default: Full Dataset Raw,4,business,0.9252709845157115,0.9312169312169313,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.9313937696290637,0.9497563352826511,0.8713928627388375,0.8713928627388375,0.8713928627388375
57,MLP Default: Full Dataset Raw,4,cnn,0.0,0.0,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.5,0.25,0.8713928627388375,0.8713928627388375,0.8713928627388375
58,MLP Default: Full Dataset Raw,4,entertainment,0.8201752548526742,0.8620689655172413,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.8428879310344828,0.8017241379310345,0.8713928627388375,0.8713928627388375,0.8713928627388375
59,MLP Default: Full Dataset Raw,4,health,0.854829304706573,0.9564220183486238,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.8963155075004869,0.9635321100917431,0.8713928627388375,0.8713928627388375,0.8713928627388375
60,MLP Default: Full Dataset Raw,4,opinions,0.7578157496691247,0.5079365079365079,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.8538279132791328,0.5704685099846389,0.8713928627388375,0.8713928627388375,0.8713928627388375
61,MLP Default: Full Dataset Raw,4,politics,0.8459431269213878,0.8217391304347825,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.8638472253766372,0.8872563718140929,0.8713928627388375,0.8713928627388375,0.8713928627388375
62,MLP Default: Full Dataset Raw,4,sport,0.962438853948288,0.9669811320754718,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.9146769647443502,0.910377358490566,0.8713928627388375,0.8713928627388375,0.8713928627388375
63,MLP Default: Full Dataset Raw,4,style,0.0,0.0,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.0,0.0,0.8713928627388375,0.8713928627388375,0.8713928627388375
64,MLP Default: Full Dataset Raw,4,travel,0.0,0.0,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.625,0.25,0.8713928627388375,0.8713928627388375,0.8713928627388375
65,MLP Default: Full Dataset Raw,4,us,0.846685295551223,0.8269230769230769,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.7489806811750784,0.7121394230769231,0.8713928627388375,0.8713928627388375,0.8713928627388375
66,MLP Default: Full Dataset Raw,4,weather,0.8265217391304347,0.8804347826086957,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.8405731225296442,0.842391304347826,0.8713928627388375,0.8713928627388375,0.8713928627388375
67,MLP Default: Full Dataset Raw,4,world,0.8311365372797184,0.9151785714285715,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.8403936010735178,0.925256629597947,0.8713928627388375,0.8713928627388375,0.8713928627388375
68,MLP Default: Full Dataset Raw,4,macro avg,0.6392347372145946,0.6390750930408252,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.7381580596951995,0.6719085150514519,0.8713928627388375,0.8713928627388375,0.8713928627388375
69,MLP Default: Full Dataset Raw,4,weighted avg,0.8524280513188449,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.8636087484811665,0.8656594363177199,0.8713928627388375,0.8713928627388375,0.8713928627388375,0.8713928627388375
70,MLP Default: Derived Dataset 1,4,business,0.9062830512956108,0.8915343915343915,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.9313380458150965,0.9471177944862155,0.8488926927477362,0.8488926927477362,0.8488926927477362
71,MLP Default: Derived Dataset 1,4,cnn,0.0,0.0,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.5,0.25,0.8488926927477362,0.8488926927477362,0.8488926927477362
72,MLP Default: Derived Dataset 1,4,entertainment,0.7769778549249612,0.8706896551724137,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.8238126815713023,0.8017241379310345,0.8488926927477362,0.8488926927477362,0.8488926927477362
73,MLP Default: Derived Dataset 1,4,health,0.8374520355434153,0.9564220183486238,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.8915671326832729,0.9498957464553796,0.8488926927477362,0.8488926927477362,0.8488926927477362
74,MLP Default: Derived Dataset 1,4,opinions,0.7944609444609445,0.4722222222222222,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.7573489010989012,0.4817588325652842,0.8488926927477362,0.8488926927477362,0.8488926927477362
75,MLP Default: Derived Dataset 1,4,politics,0.7816770439884855,0.7782608695652173,0.8268529769137303,0.8268529769137303,0.8268529769137303,0.8260132943512798,0.8503185907046477,0.8488926927477362,0.8488926927477362,0.8488926927477362
